meter_number,poc_number,total_blank_periods,avg_monthly_units_over_blank_periods,std_monthly_units_over_blank_periods,last_blank_period_start,last_blank_period_end,last_blank_period_length,months_since_last_blank_period,total_units_before_last_blank_period,monthly_units_over_last_blank_period,longest_blank_period_start,longest_blank_period_end,longest_blank_period_length,months_since_longest_blank_period,total_units_before_longest_blank_period,monthly_units_over_longest_blank_period
4199478449,498116,26,6.277285714285715,12.287589460623858,2019-05-31,2019-07-31,2,32,8.4,4.2,2016-10-31,2017-05-31,7,58,4.6,0.66
4199478597,498101,15,46.56428571428573,42.64807344926896,2021-09-30,2021-11-30,2,4,252.6,126.3,2019-11-30,2020-03-31,4,24,415.8,103.95
4199505613,498150,11,4.118333333333333,3.1381828606164217,2020-03-31,2020-05-31,2,22,10.0,5.0,2010-07-31,2011-01-31,6,134,3.8,0.63
4200138354,498032,23,6.735144927536232,5.711096050228716,2021-11-30,2022-02-28,3,0,2.0,0.67,2020-10-31,2021-10-31,12,4,6.8,0.57
4200138362,400182,9,14.261111111111113,6.910932473575544,2018-01-31,2018-03-31,2,47,16.2,8.1,2011-03-31,2011-05-31,2,129,15.1,7.55
4200383455,498068,23,3.1054227053140093,2.1520450488565226,2019-10-31,2021-06-30,20,0,4.8,0.24,2019-10-31,2021-06-30,20,0,4.8,0.24
4200384172,498074,29,13.533477891156462,6.224141791476837,2021-05-31,2021-07-31,2,8,51.8,25.9,2014-05-31,2014-12-31,7,87,79.0,11.29
4200413450,498118,34,3.4637745098039217,2.5698929083261977,2021-11-30,2022-01-31,2,0,2.0,1.0,2019-04-30,2019-09-30,5,28,4.8,0.96
4206300560,497972,20,3.660389775882429,2.5488734329911504,2021-12-31,2022-02-28,2,0,4.75,2.37,2010-08-31,2010-11-30,3,135,22.6,7.53
4206375208,497967,7,6.277777777777778,2.9510774345468063,2013-10-31,2013-12-31,2,99,5.1,2.55,2011-04-30,2011-07-31,3,128,18.9,6.3
4206389324,498112,17,86.7453125,29.148022310095822,2021-10-31,2021-12-31,2,3,176.7,88.35,2010-11-30,2011-03-31,4,132,183.1,45.78
4206573836,498137,16,2.212804487179487,1.8230262206443226,2021-07-31,2021-12-31,5,0,2.0,0.4,2016-07-31,2017-08-31,13,52,13.8,1.06
4209316779,498130,27,2.9770356172980668,3.2798295725666713,2021-12-31,2022-02-28,2,1,5.7,2.85,2016-07-31,2017-02-28,7,61,2.3,0.33
4209621210,498064,13,5.913070783030648,13.875289760894177,2021-11-30,2022-01-31,2,2,1.86,0.93,2012-02-29,2014-10-31,32,89,16.6,0.52
4209704693,498060,10,17.055555555555557,22.075381517332886,2015-12-31,2016-02-29,2,73,4.6,2.3,2013-12-31,2015-09-30,21,78,6.3,0.3
4209704701,498049,23,3.2671717171717165,2.1234097562552314,2021-09-30,2021-11-30,2,4,4.8,2.4,2012-06-30,2013-03-31,9,108,25.0,2.78
